grievance,urgency
schoship release nahi hui hai hamare area mein,HIGH
"mere ghar ke paas, school ke paas open manhole hai",CRITICAL
park railing needs repair in our area,LOW
"near my house, no street light is working in our area in our area",HIGH
I want to report that main road is badly damaged please resolve this,HIGH
हमारे इलाके में समस्या है कि पार्क की रेलिंग की मरम्मत करनी है और लोगों को परेशानी हो रही है,LOW
large potholes ki wajah se vehicles ko problem ho rahi hai kai dino se,HIGH
हमारे इलाके में समस्या है कि रिहायशी इमारतों के पास कूड़ा जमा हो रहा है हमारे इलाके में,HIGH
हमारे इलाके में समस्या है कि कूड़ेदान कभी-कभी भर जाता है और लोगों को परेशानी हो रही है,MEDIUM
"mere ghar ke paas, street light flicker kar rahi hai please ise resolve karein",MEDIUM
I want to report that no drinking water is available in the area and residents are facing problems,HIGH
I want to report that there is no water supply in our locality and residents are facing problems,HIGH
"please action lein, roaad par exposed electric wire pada hai",CRITICAL
मैं शिकायत करना चाहता हूं कि सार्वजनिक बेंच पुरानी है हमारे इलाके में,LOW
"in our locality, public toilet needs repair",MEDIUM
name board is damaged and residents are facing problems,LOW
"in our locality, strete light is flickering for many days",MEDIUM
"हमारे इलाके में, सार्वजनिक बेंच पुरानी है",LOW
"near my house, fire in a public building please take action",CRITICAL
there is no water supply in our locality please resolve this,HIGH
there is a problem where major accident caused by damaged road in our area,CRITICAL
"please help, children open manhole ke danger mein hain aur residents ko problem ho rahi hai",CRITICAL
"कृपया कार्रवाई करें, कई दिनों से कूड़ा नहीं उठाया गया है और लोगों को परेशानी हो रही है",HIGH
"in our locality, large potholes are causing problems for vehicles please take action",HIGH
"hamare locality mein, scholarshp release nahi hui hai please ise resolve karein",HIGH
हमारे इलाके में समस्या है कि सड़क पर बिजली का खुला तार पड़ा है,CRITICAL
"please take action, public bench is old",LOW
"hamare locality mein, name board kharab hai hamare area mein",LOW
"कृपया मदद करें, इलाके में पीने का पानी उपलब्ध नहीं है हमारे इलाके में",HIGH
main report karna chahta hoon ki toilet dirty hai aur use nahi ho sakta aur residents ko problem ho rahi hai,HIGH
"please take action, garbej collection is irregular and residents are facing problems",MEDIUM
हमारे इलाके में समस्या है कि कूड़ा उठाने की व्यवस्था नियमित नहीं है कृपया कार्रवाई करें,MEDIUM
"please take action, garbage is piling up near residential buildings in our area",HIGH
पीने का पानी दूषित है और लोगों को परेशानी हो रही है,CRITICAL
"please action lein, road par exposed electric wire pada hai",CRITICAL
hamare area mein problem hai ki garbage collection regular nahi hai,MEDIUM
"हमारे इलाके में, पार्क की लाइट ठीक से काम नहीं कर रही है",MEDIUM
"मेरे घर के पास, नाम का बोर्ड खराब है कृपया कार्रवाई करें",LOW
I want to report that footpath has a small crack please resolve this,LOW
हमारे इलाके में समस्या है कि नाली आंशिक रूप से बंद है कई दिनों से,MEDIUM
main report karna chahta hoon ki dangerous electric pole girne wala hai kai dino se,CRITICAL
मैं शिकायत करना चाहता हूं कि कई दिनों से कूड़ा नहीं उठाया गया है कृपया इसे जल्द हल करें,HIGH
"hamare locality mein, public toilet ki repair chahiye please ise resolve karein",MEDIUM
"please take action, there is no water supply in our locality in our area",HIGH
"please help, damaged rod ki wajah se major accident hua hai",CRITICAL
"कृपया कार्रवाई करें, नाली आंशिक रूप से बंद है हमारे इलाके में",MEDIUM
"कृपया कार्रवाई करें, पार्क की बेंच पर पेंट करने की जरूरत है कई दिनों से",LOW
"कृपया कार्रवाई करें, सरकारी इमारत में आग लगने की आपात स्थिति है हमारे इलाके में",CRITICAL
live electric wire street par gir gaya hai kai dino se,CRITICAL
हमारे इलाके में समस्या है कि सार्वजनिक टॉयलेट कई दिनों से इस्तेमाल नहीं हो रहा है कृपया इसे जल्द हल करें,HIGH
"मेरे घर के पास, बिजली का चालू तार सड़क पर गिर गया है हमारे इलाके में",CRITICAL
"please action lein, log contaminated watr pee rahe hain please ise resolve karein",CRITICAL
"hamare locality mein, road completely damaged ho gayi hai please ise resolve karein",HIGH
public bench is old please take action,LOW
"please action lein, public toilett kai dino se unusable hai kai dino se",HIGH
मैं शिकायत करना चाहता हूं कि मुख्य सड़क बहुत खराब हो गई है,HIGH
हमारे इलाके में समस्या है कि टॉयलेट गंदा है और इस्तेमाल करने लायक नहीं है हमारे इलाके में,HIGH
"please help, garbage is piling up near residential buildings",HIGH
मैं शिकायत करना चाहता हूं कि नाली आंशिक रूप से बंद है कई दिनों से,MEDIUM
"in our locality, drinking water is contaminated and residents are facing problems",CRITICAL
हमारे इलाके में समस्या है कि मुख्य सड़क पर सीवेज का पानी बह रहा है कई दिनों से,CRITICAL
"कृपया मदद करें, मुख्य सड़क बहुत खराब हो गई है कई दिनों से",HIGH
main report karna chahta hoon ki footpath mein chhota crack hai aur residents ko problem ho rahi hai,LOW
scholarship release nahi hui hai,HIGH
there is a problem where garbej is piling up near residential buildings,HIGH
main report karna chahta hoon ki toilt ka door toot gaya hai please action lein,MEDIUM
"मेरे घर के पास, पानी की सप्लाई नियमित नहीं है कृपया कार्रवाई करें",MEDIUM
"कृपया मदद करें, खतरनाक बिजली का खंभा गिरने वाला है कृपया कार्रवाई करें",CRITICAL
पार्क की बेंच पर पेंट करने की जरूरत है कृपया इसे जल्द हल करें,LOW
"near my house, schoship has not been released",HIGH
हमारे इलाके में समस्या है कि बड़े गड्ढों के कारण वाहनों को परेशानी हो रही है कृपया कार्रवाई करें,HIGH
"please action lein, main road badly damaged hai kai dino se",HIGH
"hamare locality mein, main road par sewage watr overflow ho raha hai kai dino se",CRITICAL
"please take action, open manhole near a school please take action",CRITICAL
"near my house, no street light is working in our area for many days",HIGH
there is a problem where schoship application status is not updated,MEDIUM
मैं शिकायत करना चाहता हूं कि लोग दूषित पानी पी रहे हैं कृपया कार्रवाई करें,CRITICAL
हमारे इलाके में समस्या है कि टॉयलेट का दरवाजा टूटा हुआ है और लोगों को परेशानी हो रही है,MEDIUM
"please take action, garbej is piling up near residential buildings in our area",HIGH
dangerous electric pole is about to fall for many days,CRITICAL
मैं शिकायत करना चाहता हूं कि नाम का बोर्ड खराब है कृपया कार्रवाई करें,LOW
"हमारे इलाके में, सार्वजनिक टॉयलेट कई दिनों से इस्तेमाल नहीं हो रहा है हमारे इलाके में",HIGH
park ki wall ko paint karna hai kai dino se,LOW
I want to report that park lights are not working properly for many days,MEDIUM
"कृपया मदद करें, पार्क की लाइट ठीक से काम नहीं कर रही है",MEDIUM
"कृपया मदद करें, सड़क पर कई छोटी दरारें हैं हमारे इलाके में",MEDIUM
"मेरे घर के पास, मुख्य सड़क पर सीवेज का पानी बह रहा है और लोगों को परेशानी हो रही है",CRITICAL
"मेरे घर के पास, पार्क की रेलिंग की मरम्मत करनी है कई दिनों से",LOW
"near my house, children are exposed to an open manhole in our area",CRITICAL
main report karna chahta hoon ki residential buildings ke paas garbage pile ho raha hai hamare area mein,HIGH
public bench is old please resolve this,LOW
"मेरे घर के पास, रिहायशी इलाके के पास गैस लीक हो रही है कृपया कार्रवाई करें",CRITICAL
park railing ki repair chahiye aur residents ko problem ho rahi hai,LOW
hamare area mein problem hai ki residential area ke paas gas leak ho rahi hai kai dino se,CRITICAL
"हमारे इलाके में, हमारे इलाके में कोई भी स्ट्रीट लाइट काम नहीं कर रही है कई दिनों से",HIGH
सड़क पूरी तरह खराब हो गई है,HIGH
park lights are not working properly for many days,MEDIUM
"मेरे घर के पास, नाली की सफाई की जरूरत है",MEDIUM
I want to report that park gate needs minor repair please resolve this,LOW
"please help, main rod is badly damaged and residents are facing problems",HIGH
"in our locality, drainage needs cleaning please take action",MEDIUM
मैं शिकायत करना चाहता हूं कि बिजली का चालू तार सड़क पर गिर गया है हमारे इलाके में,CRITICAL
"in our locality, public bench is old in our area",LOW
hamare area mein problem hai ki park ki wall ko paint karna hai please ise resolve karein,LOW
"कृपया मदद करें, कूड़ा उठाने की व्यवस्था नियमित नहीं है कृपया इसे जल्द हल करें",MEDIUM
हमारे इलाके में समस्या है कि नाली की सफाई की जरूरत है कृपया कार्रवाई करें,MEDIUM
"in our locality, drainage needs cleaning please resolve this",MEDIUM
"mere ghar ke paas, log contaminated water pee rahe hain kai dino se",CRITICAL
"please help, road completely damaged ho gayi hai aur residents ko problem ho rahi hai",HIGH
park gate needs minor repair please resolve this,LOW
"please help, park ki wall ko paint karna hai please action lein",LOW
"हमारे इलाके में, सार्वजनिक बेंच पुरानी है",LOW
"हमारे इलाके में, सड़क पर कई छोटी दरारें हैं कई दिनों से",MEDIUM
hamare area mein problem hai ki live electric wire street par gir gaya hai hamare area mein,CRITICAL
I want to report that public washrom is very dirty for many days,HIGH
"please action lein, park gate ki minor repair chahiye please action lein",LOW
"मेरे घर के पास, सरकारी इमारत में आग लगने की आपात स्थिति है कृपया इसे जल्द हल करें",CRITICAL
"in our locality, drain is partially blocked in our area",MEDIUM
"mere ghar ke paas, park ki bench ko paint karna hai",LOW
dangerous electric pole is about to fall for many days,CRITICAL
hamare area mein problem hai ki children open manhole ke danger mein hain hamare area mein,CRITICAL
drainage ki cleaning chahiye kai dino se,MEDIUM
"please help, public washroom bahut dirty hai hamare area mein",HIGH
"कृपया कार्रवाई करें, खराब सड़क के कारण बड़ा हादसा हुआ है कई दिनों से",CRITICAL
"in our locality, one dustbin is damaged for many days",LOW
"near my house, road is completely damaged in our area",HIGH
I want to report that park bench needs painting,LOW
"मेरे घर के पास, सड़क का साइन बोर्ड धुंधला है हमारे इलाके में",LOW
"कृपया मदद करें, खराब सड़क के कारण बड़ा हादसा हुआ है कृपया कार्रवाई करें",CRITICAL
"near my house, drinking watr is contaminated in our area",CRITICAL
main report karna chahta hoon ki dangerous electric pole girne wala hai please action lein,CRITICAL
there is a problem where street light near my house is not working and residents are facing problems,MEDIUM
पार्क की दीवार पर पेंट करने की जरूरत है हमारे इलाके में,LOW
school ke paas open manhole hai please ise resolve karein,CRITICAL
मैं शिकायत करना चाहता हूं कि लोग दूषित पानी पी रहे हैं और लोगों को परेशानी हो रही है,CRITICAL
"please action lein, toilt ka door toot gaya hai please action lein",MEDIUM
"मेरे घर के पास, पीने का पानी दूषित है कृपया कार्रवाई करें",CRITICAL
"near my house, toilet door is broken",MEDIUM
"please action lein, large pothols ki wajah se vehicles ko problem ho rahi hai please action lein",HIGH
"कृपया कार्रवाई करें, नाली की सफाई की जरूरत है",MEDIUM
"in our locality, park railing needs repair and residents are facing problems",LOW
कई दिनों से कूड़ा नहीं उठाया गया है और लोगों को परेशानी हो रही है,HIGH
there is a problem where children are exposed to an open manhole,CRITICAL
मैं शिकायत करना चाहता हूं कि स्कूल के पास खुला मैनहोल है और लोगों को परेशानी हो रही है,CRITICAL
"hamare locality mein, park ki bench ko paint karna hai aur residents ko problem ho rahi hai",LOW
"please help, garbage has not been collected for many days please take action",HIGH
"please help, kai dino se garbage collect nahi hua hai kai dino se",HIGH
hamare area mein problem hai ki hamare locality mein water supply nahi hai please ise resolve karein,HIGH
main report karna chahta hoon ki name board kharab hai,LOW
scholarship application status is not updated in our area,MEDIUM
मैं शिकायत करना चाहता हूं कि बिजली का चालू तार सड़क पर गिर गया है हमारे इलाके में,CRITICAL
"कृपया कार्रवाई करें, टॉयलेट का दरवाजा टूटा हुआ है कई दिनों से",MEDIUM
"please take action, street sign is faded in our area",LOW
"near my house, park wall needs painting in our area",LOW
"please action lein, hamare locality mein water supply nahi hai aur residents ko problem ho rahi hai",HIGH
sewage water is overflowing on the main rod,CRITICAL
"in our locality, street sign is faded and residents are facing problems",LOW
"near my house, water supply is irregular please resolve this",MEDIUM
मैं शिकायत करना चाहता हूं कि रिहायशी इमारतों के पास कूड़ा जमा हो रहा है,HIGH
"in our locality, footpath has a small crack in our area",LOW
"हमारे इलाके में, लोग दूषित पानी पी रहे हैं और लोगों को परेशानी हो रही है",CRITICAL
"in our locality, sewage water is overflowing on the main road please take action",CRITICAL
I want to report that park railing needs repair please resolve this,LOW
"मेरे घर के पास, हमारे इलाके में पानी की सप्लाई नहीं है कृपया कार्रवाई करें",HIGH
road is completely damaged in our area,HIGH
"please action lein, park ki wall ko paint karna hai aur residents ko problem ho rahi hai",LOW
"please help, street light near my house is not working in our area",MEDIUM
हमारे इलाके में कोई भी स्ट्रीट लाइट काम नहीं कर रही है कृपया इसे जल्द हल करें,HIGH
"कृपया कार्रवाई करें, सार्वजनिक शौचालय बहुत गंदा है कृपया इसे जल्द हल करें",HIGH
"please help, road par kai small cracks hain hamare area mein",MEDIUM
"in our locality, park bench needs painting for many days",LOW
"in our locality, garbage is piling up near residential buildings",HIGH
हमारे इलाके में समस्या है कि इलाके में पीने का पानी उपलब्ध नहीं है हमारे इलाके में,HIGH
"near my house, street light is flickering for many days",MEDIUM
सड़क का साइन बोर्ड धुंधला है और लोगों को परेशानी हो रही है,LOW
"near my house, dangerous electric pole is about to fall please resolve this",CRITICAL
there is a problem where fire in a public building in our area,CRITICAL
"in our locality, park railing needs repair please take action",LOW
main report karna chahta hoon ki street sign faded ho gaya hai hamare area mein,LOW
"हमारे इलाके में, मुख्य सड़क बहुत खराब हो गई है और लोगों को परेशानी हो रही है",HIGH
पीने का पानी दूषित है कृपया इसे जल्द हल करें,CRITICAL
"please take action, many potholes are present on the main road and residents are facing problems",HIGH
"मेरे घर के पास, सार्वजनिक बेंच पुरानी है और लोगों को परेशानी हो रही है",LOW
"मेरे घर के पास, सड़क का साइन बोर्ड धुंधला है कृपया कार्रवाई करें",LOW
toilet door is broken in our area,MEDIUM
"mere ghar ke paas, scholarship application ka status update nahi hua please action lein",MEDIUM
"near my house, dangerous electric pole is about to fall please take action",CRITICAL
मैं शिकायत करना चाहता हूं कि सार्वजनिक शौचालय बहुत गंदा है कृपया इसे जल्द हल करें,HIGH
"hamare locality mein, scholarship release nahi hui hai",HIGH
public building mein fire lagi hai aur residents ko problem ho rahi hai,CRITICAL
hamare area mein problem hai ki roaad par exposed electric wire pada hai kai dino se,CRITICAL
main report karna chahta hoon ki children open manhole ke danger mein hain please ise resolve karein,CRITICAL
"please help, live electric wire street par gir gaya hai please ise resolve karein",CRITICAL
"near my house, road has several small cracks",MEDIUM
"मेरे घर के पास, बड़े गड्ढों के कारण वाहनों को परेशानी हो रही है कृपया इसे जल्द हल करें",HIGH
"कृपया मदद करें, सार्वजनिक बेंच पुरानी है कृपया कार्रवाई करें",LOW
"कृपया कार्रवाई करें, नाली आंशिक रूप से बंद है कृपया कार्रवाई करें",MEDIUM
"कृपया मदद करें, खतरनाक बिजली का खंभा गिरने वाला है कृपया इसे जल्द हल करें",CRITICAL
"in our locality, park bench needs painting",LOW
"कृपया मदद करें, हमारे इलाके में कोई भी स्ट्रीट लाइट काम नहीं कर रही है और लोगों को परेशानी हो रही है",HIGH
"hamare locality mein, park railing ki repair chahiye please ise resolve karein",LOW
"मेरे घर के पास, बच्चे खुले मैनहोल के खतरे में हैं कृपया कार्रवाई करें",CRITICAL
मैं शिकायत करना चाहता हूं कि स्कॉलरशिप आवेदन की स्थिति अपडेट नहीं हुई है हमारे इलाके में,MEDIUM
"near my house, wter supply is irregular please resolve this",MEDIUM
"please help, ek dustbin kharab hai please ise resolve karein",LOW
there is a problem where there is no watr supply in our locality in our area,HIGH
मैं शिकायत करना चाहता हूं कि सार्वजनिक शौचालय बहुत गंदा है और लोगों को परेशानी हो रही है,HIGH
"please action lein, main road par sewage water overflow ho raha hai please action lein",CRITICAL
"please action lein, damaged road ki wajah se major accident hua hai kai dino se",CRITICAL
"hamare locality mein, footpath mein chhota crack hai",LOW
हमारे इलाके में समस्या है कि मुख्य सड़क पर बहुत सारे गड्ढे हैं,HIGH
"हमारे इलाके में, बड़े गड्ढों के कारण वाहनों को परेशानी हो रही है",HIGH
"please take action, toilet is dirty and unusable please resolve this",HIGH
"mere ghar ke paas, toilet dirty hai aur use nahi ho sakta please action lein",HIGH
"please help, area mein drinking water available nahi hai please action lein",HIGH
"please help, park ki bench ko paint karna hai aur residents ko problem ho rahi hai",LOW
"hamare locality mein, public toilt kai dino se unusable hai hamare area mein",HIGH
हमारे इलाके में समस्या है कि सार्वजनिक टॉयलेट की मरम्मत करनी है,MEDIUM
"मेरे घर के पास, पार्क के गेट की छोटी मरम्मत करनी है हमारे इलाके में",LOW
toilet is dirty and unusable in our area,HIGH
I want to report that exposed electric wire on the road please take action,CRITICAL
hamare area mein problem hai ki dangerous electric pole girne wala hai please action lein,CRITICAL
"in our locality, open manhole near a schol and residents are facing problems",CRITICAL
toilet is dirty and unusable,HIGH
"in our locality, open manhole near a shcool please resolve this",CRITICAL
there is a problem where public toilet needs repair and residents are facing problems,MEDIUM
main report karna chahta hoon ki residential area ke paas gas leak ho rahi hai please action lein,CRITICAL
"mere ghar ke paas, public washroom bahut dirty hai please action lein",HIGH
"near my house, toilt door is broken for many days",MEDIUM
"mere ghar ke paas, garbej bin kabhi kabhi overflow ho jata hai hamare area mein",MEDIUM
हमारे इलाके में समस्या है कि पार्क की बेंच पर पेंट करने की जरूरत है और लोगों को परेशानी हो रही है,LOW
"hamare locality mein, public washrom bahut dirty hai kai dino se",HIGH
hamare area mein problem hai ki area mein drinking water available nahi hai please action lein,HIGH
hamare area mein problem hai ki park railing ki repair chahiye,LOW
"hamare locality mein, kai dino se garbage collect nahi hua hai please action lein",HIGH
हमारे इलाके में समस्या है कि हमारे इलाके में कोई भी स्ट्रीट लाइट काम नहीं कर रही है कृपया इसे जल्द हल करें,HIGH
"please action lein, main roaad par bahut saare potholes hain aur residents ko problem ho rahi hai",HIGH
"mere ghar ke paas, main road badly damaged hai please action lein",HIGH
there is a problem where park wall needs painting please resolve this,LOW
"hamare locality mein, toilet ka door toot gaya hai kai dino se",MEDIUM
हमारे इलाके में समस्या है कि नाली आंशिक रूप से बंद है कृपया कार्रवाई करें,MEDIUM
"in our locality, drainage needs cleaning please take action",MEDIUM
"hamare locality mein, roaad completely damaged ho gayi hai",HIGH
"please help, drinking water contaminated hai kai dino se",CRITICAL
हमारे इलाके में समस्या है कि एक कूड़ेदान खराब है हमारे इलाके में,LOW
"कृपया मदद करें, बड़े गड्ढों के कारण वाहनों को परेशानी हो रही है कृपया कार्रवाई करें",HIGH
"मेरे घर के पास, सड़क का साइन बोर्ड धुंधला है कई दिनों से",LOW
"mere ghar ke paas, park railing ki repair chahiye please action lein",LOW
scholrship release nahi hui hai hamare area mein,HIGH
"please help, footpath mein chhota crack hai",LOW
"हमारे इलाके में, सार्वजनिक इमारत में आग लगी है",CRITICAL
"hamare locality mein, park ki bench ko paint karna hai please ise resolve karein",LOW
main report karna chahta hoon ki scholarship application ka status update nahi hua,MEDIUM
मैं शिकायत करना चाहता हूं कि रिहायशी इमारतों के पास कूड़ा जमा हो रहा है कई दिनों से,HIGH
"mere ghar ke paas, public bench purani hai aur residents ko problem ho rahi hai",LOW
"कृपया कार्रवाई करें, पार्क की रेलिंग की मरम्मत करनी है और लोगों को परेशानी हो रही है",LOW
"हमारे इलाके में, मुख्य सड़क पर बहुत सारे गड्ढे हैं कृपया कार्रवाई करें",HIGH
"please help, drainage needs cleaning in our area",MEDIUM
"कृपया मदद करें, टॉयलेट गंदा है और इस्तेमाल करने लायक नहीं है",HIGH
garbage bin kabhi kabhi overflow ho jata hai please ise resolve karein,MEDIUM
"in our locality, one dustbin is damaged in our area",LOW
"hamare locality mein, road par kai small cracks hain aur residents ko problem ho rahi hai",MEDIUM
hamare area mein problem hai ki toilet dirty hai aur use nahi ho sakta please ise resolve karein,HIGH
"please help, sewage is overflowing near houses in our area",HIGH
सार्वजनिक टॉयलेट कई दिनों से इस्तेमाल नहीं हो रहा है कृपया इसे जल्द हल करें,HIGH
ek dustbin kharab hai please ise resolve karein,LOW
I want to report that major accident caused by damaged road in our area,CRITICAL
"हमारे इलाके में, पीने का पानी दूषित है और लोगों को परेशानी हो रही है",CRITICAL
name board is damaged please resolve this,LOW
hamare area mein problem hai ki garbage collection regular nahi hai aur residents ko problem ho rahi hai,MEDIUM
"please action lein, main road badly damaged hai please action lein",HIGH
"hamare locality mein, school ke paas open manhole hai aur residents ko problem ho rahi hai",CRITICAL
public toilt ki repair chahiye please action lein,MEDIUM
"near my house, street sign is faded please resolve this",LOW
"कृपया कार्रवाई करें, मुख्य सड़क बहुत खराब हो गई है और लोगों को परेशानी हो रही है",HIGH
"please take action, gas leak near residential area in our area",CRITICAL
"कृपया कार्रवाई करें, मुख्य सड़क पर बहुत सारे गड्ढे हैं कृपया इसे जल्द हल करें",HIGH
सड़क पर बिजली का खुला तार पड़ा है,CRITICAL
हमारे इलाके में समस्या है कि सार्वजनिक टॉयलेट की मरम्मत करनी है हमारे इलाके में,MEDIUM
हमारे इलाके में समस्या है कि स्ट्रीट लाइट बार-बार झपक रही है हमारे इलाके में,MEDIUM
"कृपया कार्रवाई करें, टॉयलेट का दरवाजा टूटा हुआ है",MEDIUM
"mere ghar ke paas, damaged road ki wajah se major accident hua hai hamare area mein",CRITICAL
फुटपाथ में छोटी दरार है कृपया इसे जल्द हल करें,LOW
I want to report that public toilett has been unusable for several days in our area,HIGH
हमारे इलाके में समस्या है कि सार्वजनिक बेंच पुरानी है और लोगों को परेशानी हो रही है,LOW
no drinking water is available in the area please take action,HIGH
scholarship has not been released for many days,HIGH
fire emergency in a government building for many days,CRITICAL
"please help, children are exposed to an open manhole please take action",CRITICAL
"कृपया मदद करें, एक कूड़ेदान खराब है कृपया कार्रवाई करें",LOW
हमारे इलाके में समस्या है कि टॉयलेट गंदा है और इस्तेमाल करने लायक नहीं है हमारे इलाके में,HIGH
"मेरे घर के पास, पार्क की बेंच पर पेंट करने की जरूरत है कृपया कार्रवाई करें",LOW
road is completely damaged for many days,HIGH
there is a problem where no drinking water is available in the area for many days,HIGH
"हमारे इलाके में, सड़क का साइन बोर्ड धुंधला है हमारे इलाके में",LOW
"कृपया मदद करें, पार्क की दीवार पर पेंट करने की जरूरत है और लोगों को परेशानी हो रही है",LOW
"हमारे इलाके में, सड़क का साइन बोर्ड धुंधला है कृपया इसे जल्द हल करें",LOW
मैं शिकायत करना चाहता हूं कि सड़क पूरी तरह खराब हो गई है कृपया कार्रवाई करें,HIGH
dangerous electric pole is about to fall please take action,CRITICAL
"please take action, sewage water is overflowing on the main road",CRITICAL
"hamare locality mein, street sign faded ho gaya hai",LOW
toilet ka door toot gaya hai please action lein,MEDIUM
"हमारे इलाके में, स्कॉलरशिप जारी नहीं हुई है हमारे इलाके में",HIGH
"हमारे इलाके में, खराब सड़क के कारण बड़ा हादसा हुआ है हमारे इलाके में",CRITICAL
"मेरे घर के पास, लोग दूषित पानी पी रहे हैं कृपया कार्रवाई करें",CRITICAL
there is a problem where footpath has a small crack in our area,LOW
main report karna chahta hoon ki street ligt flicker kar rahi hai,MEDIUM
main report karna chahta hoon ki houses ke paas sewage overflow ho raha hai kai dino se,HIGH
"हमारे इलाके में, कई दिनों से कूड़ा नहीं उठाया गया है कृपया इसे जल्द हल करें",HIGH
"near my house, garbage has not been collected for many days and residents are facing problems",HIGH
"हमारे इलाके में, पार्क की दीवार पर पेंट करने की जरूरत है और लोगों को परेशानी हो रही है",LOW
strete sign is faded for many days,LOW
"near my house, gas leak near residential area in our area",CRITICAL
"please take action, many potholes are present on the main roaad please take action",HIGH
हमारे इलाके में समस्या है कि नाम का बोर्ड खराब है कृपया कार्रवाई करें,LOW
there is a problem where drinking wter is contaminated please resolve this,CRITICAL
मैं शिकायत करना चाहता हूं कि मेरे घर के पास स्ट्रीट लाइट काम नहीं कर रही है,MEDIUM
"please help, one dustbin is damaged",LOW
footpath has a small crack,LOW
"in our locality, street ligth near my house is not working please resolve this",MEDIUM
main report karna chahta hoon ki public bench purani hai please ise resolve karein,LOW
हमारे इलाके में समस्या है कि सरकारी इमारत में आग लगने की आपात स्थिति है,CRITICAL
drinking water is contaminated and residents are facing problems,CRITICAL
there is a problem where large pothols are causing problems for vehicles please resolve this,HIGH
"please help, fire in a public building in our area",CRITICAL
"please help, garbage bin kabhi kabhi overflow ho jata hai hamare area mein",MEDIUM
"hamare locality mein, live electric wire street par gir gaya hai hamare area mein",CRITICAL
exposed electric wire on the rod please resolve this,CRITICAL
there is a problem where park gate needs minor repair please take action,LOW
"कृपया कार्रवाई करें, मुख्य सड़क पर बहुत सारे गड्ढे हैं कई दिनों से",HIGH
"in our locality, park gate needs minor repair please resolve this",LOW
पार्क की लाइट ठीक से काम नहीं कर रही है और लोगों को परेशानी हो रही है,MEDIUM
"please help, garbage bin is overflowing occasionally please resolve this",MEDIUM
hamare area mein problem hai ki kai dino se garbage collect nahi hua hai,HIGH
"कृपया कार्रवाई करें, मुख्य सड़क पर सीवेज का पानी बह रहा है",CRITICAL
"कृपया कार्रवाई करें, पानी की सप्लाई नियमित नहीं है कृपया कार्रवाई करें",MEDIUM
there is a problem where major accident caused by damaged road in our area,CRITICAL
"कृपया कार्रवाई करें, फुटपाथ में छोटी दरार है और लोगों को परेशानी हो रही है",LOW
"हमारे इलाके में, मुख्य सड़क बहुत खराब हो गई है और लोगों को परेशानी हो रही है",HIGH
park lights properly kaam nahi kar rahi hain kai dino se,MEDIUM
"in our locality, gas leak near residential area and residents are facing problems",CRITICAL
"please help, park railing ki repair chahiye hamare area mein",LOW
"in our locality, no street light is working in our area please take action",HIGH
"मेरे घर के पास, स्ट्रीट लाइट बार-बार झपक रही है कृपया इसे जल्द हल करें",MEDIUM
"कृपया कार्रवाई करें, बड़े गड्ढों के कारण वाहनों को परेशानी हो रही है कृपया इसे जल्द हल करें",HIGH
"please action lein, park ki wall ko paint karna hai please ise resolve karein",LOW
children are exposed to an open manhole please take action,CRITICAL
"mere ghar ke paas, park gate ki minor repair chahiye aur residents ko problem ho rahi hai",LOW
I want to report that gas leak near residential area and residents are facing problems,CRITICAL
public toilet ki repair chahiye please action lein,MEDIUM
drinking water is contaminated,CRITICAL
"कृपया कार्रवाई करें, कूड़ा उठाने की व्यवस्था नियमित नहीं है हमारे इलाके में",MEDIUM
there is a problem where large potholes are causing problems for vehicles,HIGH
live electric wire street par gir gaya hai please action lein,CRITICAL
there is a problem where fire emergency in a government building,CRITICAL
"please action lein, park ki wall ko paint karna hai kai dino se",LOW
"please action lein, area mein drinking water available nahi hai kai dino se",HIGH
"in our locality, park lights are not working properly",MEDIUM
main report karna chahta hoon ki scholrship application ka status update nahi hua,MEDIUM
main report karna chahta hoon ki public bench purani hai,LOW
there is a problem where park railing needs repair for many days,LOW
"please help, many potholes are present on the main road please resolve this",HIGH
हमारे इलाके में समस्या है कि घरों के पास सीवेज का पानी बह रहा है कृपया इसे जल्द हल करें,HIGH
there is a problem where no street light is working in our area in our area,HIGH
public washrom bahut dirty hai aur residents ko problem ho rahi hai,HIGH
"mere ghar ke paas, main road badly damaged hai kai dino se",HIGH
"मेरे घर के पास, टॉयलेट गंदा है और इस्तेमाल करने लायक नहीं है और लोगों को परेशानी हो रही है",HIGH
hamare area mein problem hai ki public toilt ki repair chahiye please action lein,MEDIUM
dangerous electric pole is about to fall in our area,CRITICAL
"मेरे घर के पास, पीने का पानी दूषित है और लोगों को परेशानी हो रही है",CRITICAL
I want to report that major accident caused by damaged roaad for many days,CRITICAL
main report karna chahta hoon ki scholrship application ka status update nahi hua please action lein,MEDIUM
मैं शिकायत करना चाहता हूं कि हमारे इलाके में कोई भी स्ट्रीट लाइट काम नहीं कर रही है और लोगों को परेशानी हो रही है,HIGH
"please take action, fire in a public building",CRITICAL
"मेरे घर के पास, पार्क की बेंच पर पेंट करने की जरूरत है हमारे इलाके में",LOW
हमारे इलाके में समस्या है कि सड़क पूरी तरह खराब हो गई है और लोगों को परेशानी हो रही है,HIGH
"mere ghar ke paas, mere ghar ke paas strete light kaam nahi kar rahi hai kai dino se",MEDIUM
"मेरे घर के पास, नाली की सफाई की जरूरत है",MEDIUM
there is a problem where fire in a public building please take action,CRITICAL
